Format Version,0.1,,,,,,,,,,,,,,,,,
Headers,l1 l2 l3 l4 l5 l6 l7 l8 SampleTemp Date Prototype Optics CellType Cell Drug Conc Test Folder NPoints,,,,,,,,,,,,,,,,,
Data Types,20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f 20.18f f s s s s s s s s s s,,,,,,,,,,,,,,,,,
Model Version,4,,,,,,,,,,,,,,,,,
Interpolator,poly,,,,,,,,,,,,,,,,,
Model Complete,0,,,,,,,,,,,,,,,,,
Date,26/03/2018 13:32,,,,,,,,,,,,,,,,,
Enclosing Folder,G:\Team Drives\Data\Veriphi\2018\3. March\Helium\Pane Matching (Thick Set),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
l1,l2,l3,l4,l5,l6,l7,l8,SampleTemp,Date,Prototype,Optics,CellType,Cell,Drug,Conc,Test,Folder,NPoints
0.190154813,0.830305586,3.091890815,1.207618449,0.637783686,0.618891277,0.75687085,1.118166698,21.190431,180321-1535 Saline Elite-4-2 1,Helium,,Elite-4,2,Saline,9,1,,0
0.190102988,0.830357835,0,1.207640594,0.637831076,0.618908226,0.756949541,1.11786253,21.185284,180321-1536 Saline Elite-4-2 2,Helium,,Elite-4,2,Saline,9,2,,0
0.190184991,0.830434326,3.094310858,1.207792399,0.637859369,0.618944211,0.756914877,1.118063509,21.179664,180321-1537 Saline Elite-4-2 3,Helium,,Elite-4,2,Saline,9,3,,0
0.190218354,0.830366641,3.097105746,1.207726895,0.637855504,0.618976741,0.756890408,1.118212259,21.175971,180321-1538 Saline Elite-4-2 4,Helium,,Elite-4,2,Saline,9,4,,0
0.190260123,0.830371892,3.092920642,1.207625468,0.637860193,0.618963312,0.756950731,1.118486589,21.173411,180321-1538 Saline Elite-4-2 5,Helium,,Elite-4,2,Saline,9,5,,0
0.190162009,0.830462369,3.090589346,1.207680817,0.637842477,0.618978923,0.756960898,1.118347963,21.171837,180321-1539 Saline Elite-4-2 6,Helium,,Elite-4,2,Saline,9,6,,0
0.190189993,0.830484836,3.087202496,1.207710095,0.637900551,0.619006094,0.756916858,1.118317156,21.171105,180321-1540 Saline Elite-4-2 7,Helium,,Elite-4,2,Saline,9,7,,0
0.190241842,0.830526164,3.094829162,1.207668272,0.637898962,0.619035416,0.756948499,1.118730521,21.169249,180321-1541 Saline Elite-4-2 8,Helium,,Elite-4,2,Saline,9,8,,0
0.190195096,0.830196107,3.109762426,1.207836157,0.637899435,0.619036199,0.756971088,1.117863086,21.168586,180321-1541 Saline Elite-4-2 9,Helium,,Elite-4,2,Saline,9,9,,0
0.190286094,0.830466017,3.100869747,1.207871433,0.63793613,0.619028298,0.75702707,1.118479769,21.167284,180321-1542 Saline Elite-4-2 10,Helium,,Elite-4,2,Saline,9,10,,0
0.191218586,0.831490961,3.098301503,1.208582302,0.638707237,0.619803793,0.757768291,1.118878743,21.165582,180321-1543 Saline Elite-4-2 11,Helium,,Elite-4,2,Saline,9,11,,0
0.190237557,0.830418852,3.095132632,1.207682422,0.637909819,0.619066325,0.756984822,1.118262924,21.164068,180321-1544 Saline Elite-4-2 12,Helium,,Elite-4,2,Saline,9,12,,0
0.190319819,0.830289859,3.093818644,1.207823883,0.637954781,0.619134525,0.756967833,1.118348571,21.162469,180321-1545 Saline Elite-4-2 13,Helium,,Elite-4,2,Saline,9,13,,0
