Cell,SampleTemp,total thick,l1,l2,l3,l4,l5,l6,l7,l8
3,21.375921,3.0165000,0.191004894,0.833870402,3.085078495,1.207437268,0.63865009,0.620000926,0.759124285,1.123428
3,21.374078,3.0165000,0.191100244,0.833881405,3.088156829,1.207534413,0.638729829,0.620060573,0.759226574,1.123424195
3,21.359948,3.0165000,0.190935553,0.833300016,3.094631304,1.207578387,0.638629905,0.619965625,0.759177719,1.123350762
3,21.359382,3.0165000,0.190870242,0.833440888,3.098905607,1.207537023,0.638675152,0.619929461,0.759105101,1.122783257
3,21.358011,3.0165000,0.191031861,0.83360819,3.094516796,1.207526164,0.638678921,0.619962223,0.759132043,1.123011676
3,21.356216,3.0165000,0.190926529,0.833435635,3.102008007,1.207531566,0.638662249,0.61991053,0.759004495,1.122853835
3,21.355395,3.0165000,0.190952377,0.833547384,3.092515446,1.20754731,0.63866575,0.619966543,0.759073243,1.122837412
3,21.35448,3.0165000,0.191095544,0.83365463,3.086615553,1.207584641,0.638675118,0.619974057,0.758914151,1.12305098
4,21.474935,3.017,0.191913178,0.834642935,3.100089354,1.206928511,0.638626829,0.619939087,0.759233242,1.123981817
4,21.468971,3.017,0.191683918,0.834508385,3.106746468,1.206988537,0.638705188,0.620014747,0.759312413,1.123470396
4,21.462322,3.017,0.191713556,0.834537613,3.099208625,1.207072295,0.638754374,0.620106294,0.759317041,1.123245476
4,21.455846,3.017,0.191831363,0.834590862,3.101767059,1.207095743,0.638723295,0.61999286,0.759305207,1.123469358
4,21.448972,3.017,0.191844891,0.834578689,3.102497406,1.207172617,0.63880235,0.620147931,0.759373486,1.123705419
4,21.442058,3.017,0.192004211,0.834693472,3.095177664,1.207221427,0.638829613,0.620157862,0.759533131,1.123722409
4,21.436899,3.017,0.191626246,0.834338405,3.090286251,1.207259156,0.638854886,0.620208924,0.759353481,1.123800265
4,21.431886,3.017,0.191923668,0.834614336,3.099466186,1.207313419,0.638855666,0.620204257,0.759447225,1.123047037
4,21.426574,3.017,0.192057788,0.834833641,3.102235015,1.207453424,0.638999004,0.620341727,0.759492076,1.12361332
4,21.422029,3.017,0.192316949,0.834932545,3.107227042,1.207750907,0.639294161,0.620704114,0.759816943,1.123745416
4,21.417201,3.017,0.19178499,0.834579399,0,1.20748915,0.638973094,0.62031386,0.759457847,1.12322149
4,21.414291,3.017,0.191797545,0.834407481,3.091400784,1.207501696,0.638950539,0.620338481,0.759426427,1.123387367
4,21.410625,3.017,0.192431627,0.835116028,3.091929832,1.208242948,0.639751746,0.621095456,0.760203813,1.123128392
4,21.405497,3.017,0.191940123,0.834500009,3.098804548,1.207576602,0.639014028,0.620377345,0.759513748,1.123434051
4,21.401936,3.017,0.19194852,0.834554617,0,1.207659082,0.639085943,0.620429125,0.759600135,1.123522644
4,21.398538,3.017,0.19183721,0.834327959,3.091887538,1.207666519,0.639065609,0.62040218,0.759534008,1.123094731
4,21.394331,3.017,0.191874377,0.834363391,3.09908073,1.207699569,0.639093406,0.620428137,0.759566359,1.123373308
4,21.391281,3.017,0.192007105,0.834408651,3.088270382,1.207711541,0.639143254,0.6204918,0.759594658,1.123382526
4,21.388436,3.017,0.191930996,0.834346738,3.091802699,1.207709673,0.639092711,0.620454528,0.75959733,1.123166561
4,21.385492,3.017,0.191844566,0.834309741,3.08683024,1.207777131,0.639114222,0.620468538,0.759496581,1.123622214
4,21.383023,3.017,0.191838447,0.834240563,3.0934325,1.20774923,0.639135399,0.62050108,0.759561279,1.123216716
4,21.380279,3.017,0.191968106,0.834336754,3.094031138,1.207823696,0.639151296,0.620488812,0.759598065,1.123144785
4,21.37833,3.017,0.192080327,0.834463693,3.10204298,1.207818083,0.639154828,0.620556211,0.759598473,1.123526579
4,21.379607,3.017,0.192047097,0.834385369,3.100883503,1.207830504,0.639116548,0.620476214,0.759425719,1.123514764
4,21.378089,3.017,0.191830064,0.834271694,3.096212691,1.207891459,0.639166819,0.620544777,0.759496576,1.122991282
4,21.378403,3.017,0.191965965,0.834381282,3.093486405,1.20789534,0.639157204,0.62056335,0.759551956,1.123337803
4,21.373493,3.017,0.191755932,0.834080976,3.090855197,1.20789496,0.639158522,0.620500397,0.75936201,1.123596985
4,21.372172,3.017,0.191753582,0.834066707,3.100252351,1.207902633,0.639182508,0.620532014,0.759517567,1.123120534
4,21.372555,3.017,0.191765535,0.834094414,3.096659866,1.207924234,0.639164655,0.620508133,0.759567848,1.122645565
4,21.37286,3.017,0.191831671,0.834100973,3.107241444,1.207940363,0.639184806,0.620535119,0.759595676,1.123349244
4,21.37146,3.017,0.191888706,0.834186965,3.095433764,1.207950634,0.63920699,0.620531225,0.759522763,1.123263704
4,21.371656,3.017,0.191894157,0.834114643,3.097329285,1.207939754,0.639161691,0.620494556,0.759479944,1.123006006
4,21.37075,3.017,0.19185643,0.834033304,3.088784267,1.207970499,0.639189591,0.620502157,0.759581519,1.123438504
4,21.372063,3.017,0.19178847,0.83408917,3.103335899,1.207948226,0.639171703,0.620523132,0.759512446,1.123129139
4,21.370653,3.017,0.191894824,0.834111017,3.08884284,1.208009159,0.639224853,0.620532255,0.759555471,1.123269745
5,21.52478,3.017,0.191425991,0.834599438,3.103281936,1.206248479,0.638283682,0.619629976,0.75906337,1.124161571
5,21.516423,3.017,0.191063543,0.834486354,3.098610219,1.206358708,0.638305896,0.619597786,0.759006392,1.123539957
5,21.508084,3.017,0.191185047,0.834529691,3.092310845,1.206359292,0.638346932,0.619638346,0.759039292,1.123212341
5,21.500366,3.017,0.191187431,0.834549671,3.094797038,1.206417926,0.638380076,0.619661929,0.759087949,1.123382805
5,21.493781,3.017,0.191073854,0.834496474,3.098230773,1.206506764,0.638439408,0.619712697,0.75897611,1.123010042
5,21.486566,3.017,0.191149602,0.834419293,3.090764891,1.206484997,0.638451554,0.619717317,0.75901835,1.123039158
5,21.481625,3.017,0.191154715,0.834456536,3.106795066,1.206618104,0.638512187,0.619776425,0.759130976,1.123206326
5,21.475763,3.017,0.191130356,0.834374869,3.092188917,1.206619162,0.638501804,0.619823037,0.759084924,1.123141611
5,21.469793,3.017,0.191180122,0.834368781,3.090344443,1.206698768,0.638515363,0.619838316,0.759162148,1.123400874
5,21.465552,3.017,0.191268869,0.834368776,3.097102055,1.206710728,0.638519057,0.619844746,0.759118837,1.123197149
5,21.460211,3.017,0.191184474,0.834300118,3.094833833,1.206802446,0.638594206,0.619890553,0.759128407,1.123544645
5,21.455713,3.017,0.191241928,0.834338299,3.096903752,1.206832263,0.638588025,0.6199094,0.759122352,1.123085201
5,21.451589,3.017,0.191185863,0.834279444,3.091113551,1.206848115,0.638595693,0.619885366,0.759230664,1.123075193
5,21.4468,3.017,0.191479988,0.834408239,3.101729243,1.206916047,0.638630084,0.61991987,0.75915197,1.123462135
5,21.442345,3.017,0.191441881,0.834404613,3.101411314,1.206952748,0.638650749,0.619966127,0.759210868,1.123404258
5,21.43858,3.017,0.19147179,0.834524952,3.097680812,1.206991748,0.638701689,0.619986773,0.759174588,1.123388306
5,21.434707,3.017,0.191376903,0.834454926,3.097189154,1.207161205,0.638793583,0.620109218,0.759269989,1.123011007
5,21.432406,3.017,0.191248551,0.834275512,0,1.207176835,0.638796175,0.620064532,0.75916074,1.123282612
5,21.430374,3.017,0.191270283,0.834196047,3.086319075,1.207047159,0.638655166,0.620000593,0.75912815,1.123013696
5,21.428487,3.017,0.191180779,0.834076031,3.103979138,1.207060873,0.638725791,0.620055493,0.759236399,1.122672507
5,21.425888,3.017,0.191274622,0.834163561,3.101012451,1.207114578,0.638762023,0.620029834,0.759185862,1.123337508
5,21.423392,3.017,0.191184702,0.834084711,3.089393379,1.207139514,0.638735077,0.620076996,0.759221947,1.123304829
5,21.421332,3.017,0.19120014,0.834035856,3.096529607,1.207232015,0.638768909,0.620038768,0.759105848,1.122887352
5,21.419292,3.017,0.191274516,0.834070338,3.094781601,1.207187793,0.638772142,0.620078147,0.759258218,1.122976958
5,21.417308,3.017,0.191150193,0.834042628,3.10519958,1.207224657,0.638775075,0.6200771,0.759160688,1.122551366
5,21.415801,3.017,0.191291761,0.834162344,3.09442791,1.207318211,0.638823075,0.620135614,0.759225653,1.122765527
5,21.414537,3.017,0.191231124,0.833952207,3.09574583,1.207266903,0.638799425,0.62012546,0.759156348,1.12310093
5,21.413876,3.017,0.191277855,0.834003158,3.09104414,1.207261345,0.63878289,0.620076135,0.75913982,1.123221665
5,21.412995,3.017,0.191183912,0.83402549,3.095222777,1.207317193,0.63881113,0.620096657,0.759135526,1.123112976
5,21.411373,3.017,0.191228172,0.833996566,3.097264049,1.207298509,0.638811287,0.620075328,0.759171604,1.12313756
5,21.410299,3.017,0.191219292,0.833995752,3.090336674,1.207309279,0.638821726,0.620142954,0.759179669,1.122883179
5,21.408612,3.017,0.191300028,0.833912616,3.097992299,1.207316408,0.638841901,0.620145819,0.75923524,1.122791294
5,21.408711,3.017,0.191201877,0.833899628,3.094972178,1.207311055,0.638808364,0.620115765,0.759142032,1.122903342
5,21.408118,3.017,0.191263269,0.833913445,3.092787121,1.207298787,0.638844007,0.620128142,0.759076323,1.122885569
5,21.407353,3.017,0.191239481,0.833966867,3.093617172,1.207390997,0.638886759,0.620160281,0.75911499,1.122838183
6,21.3677,3.0165,0.19006034,0.832214562,3.097252021,1.205914432,0.637071265,0.618264088,0.756423141,1.119663374
6,21.365312,3.0165,0.190074159,0.832186233,3.097923835,1.20600835,0.637150826,0.618300193,0.756014132,1.119374688
6,21.362533,3.0165,0.190019919,0.832194166,3.091557097,1.206108617,0.637164114,0.618297063,0.756090055,1.119073892
6,21.359189,3.0165,0.190171335,0.83222831,3.084756224,1.206073428,0.637246346,0.618354882,0.756394437,1.118741735
6,21.355551,3.0165,0.190507477,0.832545029,3.090527841,1.206094439,0.637267719,0.618435809,0.757376562,1.119521827
6,21.350423,3.0165,0.190450503,0.832414356,3.090311189,1.206160372,0.637285369,0.618426668,0.757258452,1.120294185
6,21.347682,3.0165,0.190479701,0.832542632,3.107378041,1.206174177,0.637314151,0.618544892,0.757315661,1.119653255
6,21.345351,3.0165,0.190507788,0.832533545,3.091204967,1.206221559,0.637326376,0.618522946,0.757295133,1.119683561
6,21.34087,3.0165,0.190534392,0.832584329,3.101504875,1.206230802,0.637372667,0.618561835,0.757319926,1.120118648
6,21.336757,3.0165,0.190432646,0.832508057,3.097264967,1.206280039,0.637365044,0.61853607,0.757278573,1.119417031
